hidden_size,num_layers,num_epochs,learning_rate,dropout,feature_set,exclude_columns,best_epoch,best_test_loss,final_train_loss,final_test_loss,test_mse,test_mae,experiment_name
128,2,150,0.001,0.1,all_features,None,127,0.0002294587786309421,0.0005737457890063524,0.00024122585891745986,0.00024122586406610265,0.007675467332403702,quick_hs128_layers2_all_features_ep150_lr0.001_do0.1
128,2,100,0.0005,0.0,all_features,None,100,0.000296006805729121,0.0002566763025242835,0.000296006805729121,0.00029600681391914933,0.006362334520869631,quick_hs128_layers2_all_features_ep100_lr0.0005_do0.0
64,2,150,0.001,0.1,all_features,None,141,0.0003243198152631521,0.0008712925831787288,0.000336131639778614,0.00033613163448271646,0.007984761026649531,quick_hs64_layers2_all_features_ep150_lr0.001_do0.1
32,1,150,0.001,0.1,all_features,None,147,0.00040461200987920167,0.0010541354306042195,0.0004077978665009141,0.00040779785808921286,0.008713120833729831,quick_hs32_layers1_all_features_ep150_lr0.001_do0.1
64,2,100,0.0005,0.0,all_features,None,100,0.0004654802964068949,0.0004349135560914874,0.0004654802964068949,0.0004654802644262931,0.008136759496315904,quick_hs64_layers2_all_features_ep100_lr0.0005_do0.0
32,1,100,0.0005,0.0,all_features,None,100,0.0007949535269290209,0.0007191140088252723,0.0007949535269290209,0.0007949535217578292,0.014509608443667566,quick_hs32_layers1_all_features_ep100_lr0.0005_do0.0
128,2,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",128,0.001191212865523994,0.0017610338982194662,0.0015860020648688078,0.0015860019455743335,0.022930389539283974,quick_hs128_layers2_no_prev_u_ep150_lr0.001_do0.1
128,2,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",97,0.0018582211807370186,0.0012821231968700886,0.0019463806413114071,0.0019463807052260893,0.026245575512369782,quick_hs128_layers2_no_prev_u_ep100_lr0.0005_do0.0
64,2,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",134,0.0016626916825771333,0.001878472976386547,0.0021545674651861193,0.0021545675809729746,0.025965970935984087,quick_hs64_layers2_no_prev_u_ep150_lr0.001_do0.1
32,1,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",147,0.0021184343844652177,0.0030944177880883215,0.0024418429005891086,0.002441842927359922,0.031517910678839495,quick_hs32_layers1_no_prev_u_ep150_lr0.001_do0.1
32,1,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",100,0.003628661297261715,0.003206030814908445,0.003628661297261715,0.0036286616038754813,0.0368897754707002,quick_hs32_layers1_no_prev_u_ep100_lr0.0005_do0.0
64,2,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",64,0.0030600905418395998,0.00200132648460567,0.003841700963675976,0.003841701175762581,0.03616779144491327,quick_hs64_layers2_no_prev_u_ep100_lr0.0005_do0.0
