hidden_size,num_layers,num_epochs,learning_rate,dropout,feature_set,exclude_columns,best_epoch,best_test_loss,final_train_loss,final_test_loss,test_mse,test_mae,experiment_name
128,2,150,0.001,0.1,all_features,None,148,0.00022048501705285162,0.0004217804700601846,0.00023941658291732893,0.00023941660087699378,0.006642808509862016,quick_hs128_layers2_all_features_ep150_lr0.001_do0.1
128,2,100,0.0005,0.0,all_features,None,100,0.00027161776524735614,0.00018500442674849183,0.00027161776524735614,0.00027161778901412746,0.006530367355308929,quick_hs128_layers2_all_features_ep100_lr0.0005_do0.0
64,2,150,0.001,0.1,all_features,None,150,0.00029259925649967046,0.0005833270843140781,0.00029259925649967046,0.00029259925775112345,0.007141282856847676,quick_hs64_layers2_all_features_ep150_lr0.001_do0.1
32,1,150,0.001,0.1,all_features,None,149,0.0003645772347226739,0.0006767761544324458,0.0003659320005681366,0.0003659320205180845,0.00884355228584972,quick_hs32_layers1_all_features_ep150_lr0.001_do0.1
64,2,100,0.0005,0.0,all_features,None,99,0.0003803702653385699,0.00024733911559451374,0.0003808931331150234,0.00038089313019339967,0.007775492350783366,quick_hs64_layers2_all_features_ep100_lr0.0005_do0.0
32,1,100,0.0005,0.0,all_features,None,100,0.0007572033675387502,0.0005326705693732947,0.0007572033675387502,0.000757203404328975,0.014709079821640715,quick_hs32_layers1_all_features_ep100_lr0.0005_do0.0
128,2,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",124,0.001664659846574068,0.001220489083789289,0.0019828157499432566,0.0019828157385484296,0.02449465692562563,quick_hs128_layers2_no_prev_u_ep150_lr0.001_do0.1
128,2,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",97,0.0018571370048448444,0.0008206662896554917,0.002026172261685133,0.002026171984597516,0.026503524020245844,quick_hs128_layers2_no_prev_u_ep100_lr0.0005_do0.0
64,2,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",146,0.0018326482502743601,0.0015635590301826597,0.00204083570279181,0.0020408356736838287,0.026652949296896614,quick_hs64_layers2_no_prev_u_ep150_lr0.001_do0.1
64,2,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",97,0.0023303485941141844,0.0009613904403522611,0.002340732840821147,0.002340732710781533,0.028247419636474938,quick_hs64_layers2_no_prev_u_ep100_lr0.0005_do0.0
32,1,150,0.001,0.1,no_prev_u,"u1_prev, u2_prev",141,0.0028474146965891123,0.002219608402810991,0.0028715649619698524,0.002871565159172443,0.03220537101671643,quick_hs32_layers1_no_prev_u_ep150_lr0.001_do0.1
32,1,100,0.0005,0.0,no_prev_u,"u1_prev, u2_prev",96,0.0038455753587186337,0.00255959692876786,0.003879603138193488,0.003879603231142645,0.035953004674696545,quick_hs32_layers1_no_prev_u_ep100_lr0.0005_do0.0
